Date,Ticker,Name,Open,High,Low,Close,Volume
21/06/2021,Fb,"Facebook,Inc.",331,333,328,332,11337500
21/06/2021,Fb,"Facebook,Inc.",331,333,328,332,11337500
22/06/2021,Fb,"Facebook,Inc.",333,340,333,339,15345300
23/06/2021,Fb,"Facebook,Inc.",339,343,338,341,14817800
24/06/2021,Fb,"Facebook,Inc.",342,345,342,343,12329100
25/06/2021,Fb,"Facebook,Inc.",343,344,340,341,14594400
28/06/2021,Fb,"Facebook,Inc.",342,358,342,356,29156100
29/06/2021,Fb,"Facebook,Inc.",356,357,349,352,21417300
30/06/2021,Fb,"Facebook,Inc.",352,353,347,348,15107500
01/07/2021,Fb,"Facebook,Inc.",347,355,347,354,17137000
02/07/2021,Fb,"Facebook,Inc.",355,356,353,355,11521300
21/06/2021,AMZN,"Amazon.com,Inc.",3476,3482,3434,3454,3277100
22/06/2021,AMZN,"Amazon.com,Inc.",3458,3524,3456,3505,3345100
22/06/2021,AMZN,"Amazon.com,Inc.",3458,3524,3456,3505,3345100
23/06/2021,AMZN,"Amazon.com,Inc.",3505,3521,3483,3504,2813300
24/06/2021,AMZN,"Amazon.com,Inc.",3508,3525,3431,3449,3832000
25/06/2021,AMZN,"Amazon.com,Inc.",3464,3465,3394,3401,3941000
28/06/2021,AMZN,"Amazon.com,Inc.",3416,3448,3414,3444,2242800
29/06/2021,AMZN,"Amazon.com,Inc.",3439,3456,3423,3448,2098400
30/06/2021,AMZN,"Amazon.com,Inc.",3441,3472,3435,3440,2404000
01/07/2021,AMZN,"Amazon.com,Inc.",3435,3457,3409,3433,2037100
02/07/2021,AMZN,"Amazon.com,Inc.",3452,3512,3437,3511,3169400
21/06/2021,tslA,"Telsa,Inc.",624,631,609,621,24812700
22/06/2021,tslA,"Telsa,Inc.",618,629,616,624,19158900
23/06/2021,tslA,"Telsa,Inc.",632,657,630,657,31099200
24/06/2021,tslA,"Telsa,Inc.",675,698,668,680,45982400
25/06/2021,tslA,"Telsa,Inc.",690,694,669,672,32496700
28/06/2021,tslA,"Telsa,Inc.",672,695,670,689,21628200
29/06/2021,tslA,"Telsa,Inc.",685,688,676,681,17381300
30/06/2021,tslA,"Telsa,Inc.",680,693,678,680,18924900
01/07/2021,tslA,"Telsa,Inc.",684,688,673,678,18634500
02/07/2021,tslA,"Telsa,Inc.",679,700,673,679,27054500
